block_start,block_end,average_distance
1,9,0.40726675638338417
2,10,0.3998949004382622
3,11,0.3829569002477134
4,12,0.3947069121570122
5,13,0.36919272818216464
6,14,0.37098805497332316
7,15,0.3755135885099085
8,16,0.3555446717797256
9,17,0.3527415205792683
10,18,0.35311666349085363
11,19,0.36131174971417684
12,20,0.37251095655487804
13,21,0.3592410203887195
14,22,0.35182301591082316
15,23,0.3532744616996951
16,24,0.3371269412157012
17,25,0.3155815310594512
18,26,0.2990841749237805
19,27,0.2919192430449695
20,28,0.2862742354230183
21,29,0.2892709127286585
22,30,0.2889404296875
23,31,0.31286025628810976
24,32,0.4182009813262195
